url,lounge_type,lounge_row,displayIATA,airsideDesc,amenities,category_description,category_name,description,id,location_airside,location_terminal,location_terminalDirections,name,nonContingentAccess_accessAction,nonContingentAccess_cost_currency,nonContingentAccess_cost_price,nonContingentAccess_id,nonContingentAccess_isFreeAccess,nonContingentAccess_isNonContingent,nonContingentAccess_name,purchasable,rating_avg,rating_total,bookingLoungeId,displayPrice_currencyCode,displayPrice_price,location_latitude,location_longitude,nonContingentAccess_timeLimit,price_GBP,price_USD,productName,displayPrice_originalPrice
https://www.loungebuddy.co.uk/UVF?source=homepage/airports,regularLounges,0,UVF,(Outside Security),"Snacks, TVs, Non-Smoking",,,,0NOR3yB2lE,0,Main Terminal,Close to security entrance,Sandals Resorts Arrivals Lounge,,,,,,,,0,,0,,,,,,,,,,
https://www.loungebuddy.co.uk/ABV?source=homepage/airports,purchasableLounges,0,ABV,(Inside Security),"Premium Food, Snacks, Spirits & Liquor, Beer & Wine, Wi-Fi, Flight Monitors, Newspapers & Magazines, TVs, Internet Terminals, Printers & Copiers, Telephones, Non-Smoking",Reliable lounges with expected amenities,SOLID,"Work, relax, and unwind at the SDS Lounge prior to your departure from Abuja. Indulge in a host of complimentary amenities, including daybeds, Wi-Fi, refreshments, alcohol, and a buffet of freshly prepared dishes.",2aZ1fqGuV8,1,International Terminal,"After Immigration, the lounge is located on the Departure Level of the Module C Wing, opposite the International Gate.",SDS Lounge (Temporarily Closed),Pay for entry at the front desk,USD,65,IP6DUlxAS0,0,1,Walk Up Entry,1,2.3,3,LB_ABV_SDS_INTL,GBP,25,,,3,25,31,ABV - International Terminal - SDS Lounge (Temporarily Closed),
https://www.loungebuddy.co.uk/ABV?source=homepage/airports,regularLounges,3,ABV,(Inside Security),"Premium Food, Snacks, Spirits & Liquor, Beer & Wine, Wi-Fi, Showers, Flight Monitors, Newspapers & Magazines, TVs, Internet Terminals, Printers & Copiers, Non-Smoking",,,,Rj2V7GkVkk,1,International Terminal,2nd Floor near the Central Screening.,The Gabfol Lounge (Temporarily Closed),,,,,,,,0,1,1,,,,,,,,,,
https://www.loungebuddy.co.uk/ABV?source=homepage/airports,regularLounges,4,ABV,(Inside Security),"Snacks, Beer & Wine, Wi-Fi, Newspapers & Magazines, TVs, Non-Smoking",,,"Relax at the British Airways Executive Club Lounge prior to your departure from Abuja. Enjoy the complimentary WiFi, snacks, beer, wine, and TV.",WjDt5HilU5,1,International Terminal,"Departure level of Model C wing, behind the SDS Lounge",British Airways Executive Club Lounge,,,,,,,,0,1,1,,,,,,,,,,
https://www.loungebuddy.co.uk/ABV?source=homepage/airports,regularLounges,5,ABV,(Inside Security),"Snacks, Beer & Wine, Wi-Fi, Newspapers & Magazines, TVs, Conference Rooms, Non-Smoking",,,,kX8Cis0MAp,1,International Terminal,"1st floor, near Gates 1 and 2",FAAN Lounge,,,,,,,,0,1,1,,,,,,,,,,
https://www.loungebuddy.co.uk/ABZ?source=homepage/airports,purchasableLounges,0,ABZ,(Inside Security),"Snacks, Spirits & Liquor, Beer & Wine, Wi-Fi, Flight Monitors, Newspapers & Magazines, TVs, Non-Smoking, 18+ Cardholder",Stylish spaces with unique features,FRESH,"The Northern Lights Executive Lounge is a premium lounge available to all travelers. Complete with panoramic runway views, the space offers guests a taste of the best food and drink options that Aberdeenshire has to offer - including a locally-inspired menu created by Craig Wilson, a wide selection of regional beverages, and a dedicated ""Whisky Wall"".",dfngZVBTAQ,1,Main Terminal,"After security, continue through the retail areas, take the stairs down to the lower level towards Gate 1, where there is an access route and lift to the lounge entrance.",Northern Lights Executive Lounge (Temporarily Closed),Pay for entry at the front desk,GBP,27,Gb9K4GNVl5,0,1,Walk Up Entry,1,3.2,5,LB_ABZ_ABERDEEN_MAIN,GBP,27,,,3,27,,ABZ - Main Terminal - Northern Lights Executive Lounge (Temporarily Closed),
https://www.loungebuddy.co.uk/ABZ?source=homepage/airports,regularLounges,0,ABZ,(Inside Security),"Snacks, Wi-Fi, Flight Monitors, Newspapers & Magazines, Non-Smoking",,,,5i99fAb18d,1,Main Terminal,Across from Gates 10/11,Eastern Airways Lounge,,,,,,,,0,1.5,2,,,,,,,,,,
https://www.loungebuddy.co.uk/ABZ?source=homepage/airports,regularLounges,1,ABZ,(Inside Security),"Snacks, Spirits & Liquor, Beer & Wine, Wi-Fi, Flight Monitors, Newspapers & Magazines, TVs, Internet Terminals, Printers & Copiers, Non-Smoking",,,,7UzitO3spf,1,Main Terminal,Near Gates 1 and 2,British Airways Lounge (Temporarily Closed),,,,,,,,0,4,1,,,,,,,,,,
https://www.loungebuddy.co.uk/ACA?source=homepage/airports,purchasableLounges,0,ACA,(Inside Security),"Snacks, Spirits & Liquor, Beer & Wine, Wi-Fi, Flight Monitors, Newspapers & Magazines, TVs, Non-Smoking",Reliable lounges with expected amenities,SOLID,"The OMA Premium Lounge offers a welcome respite from the crowded terminal outside. With a modern design and tranquil surroundings, guests can look forward to enjoying an open buffet of premium snacks, alcoholic beverages, as well as complimentary fast Wi-Fi.",CqcF6hsfUk,1,Main Terminal,"After the Security Checkpoint, turn right towards Gate 1, then take the stairs up to the entrance on the Mezzanine Level.",OMA Premium Lounge,Pay for entry at the front desk,USD,30,yhF5zC9oaf,0,1,Walk Up Entry,1,,0,LB_ACA_OMA_MAIN,GBP,24,,,3,24,29,ACA - Main Terminal - OMA Premium Lounge,
https://www.loungebuddy.co.uk/ACC?source=homepage/airports,regularLounges,0,ACC,(Inside Security),"Snacks, Spirits & Liquor, Wi-Fi, Flight Monitors, Newspapers & Magazines, TVs, Internet Terminals, Telephones, Non-Smoking, Beer & Wine",,,,VtDGtzYWux,1,Domestic Terminal 2,"Level 1, near Gate 3.",Adinkra Lounge,,,,,,,,0,,0,,,,,,,,,,
https://www.loungebuddy.co.uk/ACC?source=homepage/airports,regularLounges,1,ACC,(Inside Security),"Snacks, Spirits & Liquor, Beer & Wine, Wi-Fi, Flight Monitors, Newspapers & Magazines, TVs, Non-Smoking",,,Relax in the Sanbra Priority Lounge at Kotoka International Airport.,JPD4rqqspp,1,International Terminal,"Level 3, Main Departure Hall, next to Gate 3.",Sanbra Priority Lounge (Temporarily Closed),Pay for entry at the front desk,USD,25,OQBle7fNs8,0,1,Walk Up Entry,0,3,1,,,,,,4,,,,
https://www.loungebuddy.co.uk/ACC?source=homepage/airports,regularLounges,2,ACC,(Inside Security),"Premium Food, Snacks, Spirits & Liquor, Beer & Wine, Wi-Fi, Showers, Flight Monitors, Newspapers & Magazines, TVs, Internet Terminals, Telephones, Non-Smoking, 18+ Cardholder",,,Relax at the Akwaaba Lounge at Kotoka International Airport.,eszGF3tUoL,1,International Terminal 3,Level 5.,Akwaaba Lounge (Temporarily Closed),,,,,,,,0,3,1,,,,,,,,,,
https://www.loungebuddy.co.uk/ACC?source=homepage/airports,regularLounges,3,ACC,(Inside Security),"Premium Food, Snacks, Spirits & Liquor, Beer & Wine, Wi-Fi, Flight Monitors, Newspapers & Magazines, TVs, Internet Terminals, Telephones, Non-Smoking, 18+ Cardholder",,,Relax at the Adinkra Lounge at Kotoka International Airport.,cL5ACpNXDp,1,International Terminal 3,"After security, turn right and walk towards Gate C4. Follow signs to the lounge.",Adinkra Lounge (Temporarily Closed),,,,,,,,0,3,1,,,,,,,,,,
https://www.loungebuddy.co.uk/ACE?source=homepage/airports,regularLounges,0,ACE,(Inside Security),"Snacks, Spirits & Liquor, Beer & Wine, Wi-Fi, Flight Monitors, Newspapers & Magazines, TVs, Internet Terminals, Printers & Copiers, Smoking Area",,,Relax in the Sala VIP Guacimeta at Lanzarote Airport.,Ee61Uh5IjK,1,Terminal 1,"2nd Floor, next to Burger King at Gate 1",Sala VIP Guacimeta (Temporarily Closed),Pay for entry at the front desk,EUR,24,B7XvgUNb3Y,0,1,Walk Up Entry,0,1.9,7,,,,,,,,,,
https://www.loungebuddy.co.uk/ACX?source=homepage/airports,regularLounges,0,ACX,(Outside Security),"Snacks, Wi-Fi, Flight Monitors, Newspapers & Magazines, TVs, Non-Smoking, Shoe Shine",,,,P6L7OijhHC,0,Main Terminal,"Domestic Departures, next to Security Checks.",Business Center,,,,,,,,0,,0,,,,,,,,,,
https://www.loungebuddy.co.uk/ADA?source=homepage/airports,regularLounges,0,ADA,(Outside Security),"Flight Monitors, Newspapers & Magazines, TVs, Non-Smoking",,,,sa4YEcVBNw,0,Domestic Terminal,Separate entrance outside the airport.,VIP Lounge,,,,,,,,0,,0,,,,,,,,,,
https://www.loungebuddy.co.uk/ADA?source=homepage/airports,regularLounges,1,ADA,(Inside Security),"Premium Food, Snacks, Wi-Fi, Showers, Newspapers & Magazines, TVs, Internet Terminals, Printers & Copiers, Telephones",,,,rVKCNIPZzK,1,Domestic Terminal,Departure Area,Turkish Airlines CIP Lounge,,,,,,,,0,1,1,,,,,,,,,,
https://www.loungebuddy.co.uk/ADB?source=homepage/airports,purchasableLounges,0,ADB,(Inside Security),"Snacks, Spirits & Liquor, Beer & Wine, Wi-Fi, Showers, Flight Monitors, Newspapers & Magazines, TVs, Children's Area, Internet Terminals, Non-Smoking, 18+ Cardholder",Reliable lounges with expected amenities,SOLID,"The Primeclass Lounge at Izmir Adnan Menderes International Airport provides all of your relaxation needs prior to departure. Enjoy the open buffet, shower facilities, and business center in a serene and comfortable environment.",TQo2kVho5c,1,Domestic Terminal,"Mezzanine Level, after the second security checkpoint.",Primeclass Lounge (Temporarily Closed),Pay for entry at the front desk,EUR,25,7xWcCrbVSs,0,1,Walk Up Entry,1,3,2,LB_ADB_TAV_DOMESTIC,GBP,24,,,4,24,,ADB - Domestic Terminal - Primeclass Lounge (Temporarily Closed),
https://www.loungebuddy.co.uk/ADB?source=homepage/airports,purchasableLounges,1,ADB,(Inside Security),"Snacks, Spirits & Liquor, Beer & Wine, Wi-Fi, Flight Monitors, Newspapers & Magazines, TVs, Children's Area, Internet Terminals, Non-Smoking",Reliable lounges with expected amenities,SOLID,"The Primeclass Lounge at Izmir Adnan Menderes International Airport provides all of your relaxation needs prior to departure. Enjoy the open buffet, complimentary Wi-Fi, and business center in a serene and comfortable environment.",HZVAvEw6ml,1,International Terminal,"After the second security checkpoint, on the left on the 2nd Floor.",Primeclass Lounge (Temporarily Closed),Pay for entry at the front desk,EUR,25,7xWcCrbVSs,0,1,Walk Up Entry,1,3,1,LB_ADB_TAV_INTERNATIONAL,GBP,24,,,4,24,,ADB - International Terminal - Primeclass Lounge (Temporarily Closed),
https://www.loungebuddy.co.uk/ADB?source=homepage/airports,regularLounges,0,ADB,(Outside Security),"Premium Food, Snacks, Wi-Fi, Showers, Flight Monitors, Newspapers & Magazines, TVs, Children's Area, Conference Rooms, Internet Terminals, Printers & Copiers, Telephones, Non-Smoking, 18+ Cardholder",,,"Light snacks and a wide selection of beverages are offered to guests at the Turkish Airlines CIP Lounge. Additional amenities such as Internet access, daily and weekly periodicals, a prayer area, a baby care room, and TVs are provided.",AnNoj3HEsb,0,Domestic Terminal,Separate outdoor entrance,Turkish Airlines CIP Lounge (Elite Lounge),,,,,,,,0,4,2,,,,,,,,,,
https://www.loungebuddy.co.uk/ADB?source=homepage/airports,regularLounges,1,ADB,(Outside Security),"Premium Food, Snacks, Wi-Fi, Showers, Flight Monitors, Newspapers & Magazines, TVs, Children's Area, Conference Rooms, Internet Terminals, Printers & Copiers, Telephones, Non-Smoking, 18+ Cardholder",,,"Light snacks and a wide selection of beverages are offered to guests at the Turkish Airlines CIP Lounge. Additional amenities such as Internet access, daily and weekly periodicals, a prayer area, a baby care room, and TVs are provided.",be0CURTKaB,0,Domestic Terminal,Separate outdoor entrance,Turkish Airlines CIP Lounge (Business Lounge),,,,,,,,0,3,2,,,,,,,,,,
https://www.loungebuddy.co.uk/ADB?source=homepage/airports,regularLounges,2,ADB,(Inside Security),"Premium Food, Snacks, Spirits & Liquor, Beer & Wine, Wi-Fi, Flight Monitors, Newspapers & Magazines, TVs, Internet Terminals, Non-Smoking, 18+ Cardholder",,,This lounge is reserved for senior businesspersons and public officials.,WZ9ErDLd7j,1,International Terminal,After passport control,VIP Lounge,,,,,,,,0,3,1,,,,,,,,,,
https://www.loungebuddy.co.uk/ADD?source=homepage/airports,regularLounges,0,ADD,(Inside Security),"Premium Food, Snacks, Spirits & Liquor, Beer & Wine, Wi-Fi, Flight Monitors, Newspapers & Magazines, TVs, Internet Terminals, Non-Smoking, 18+ Cardholder",,,"At the ShebaMiles Lounge in Addis Ababa Bole International Airport, you can wait for your flight in a comfortable seat within a relaxing and quiet atmosphere.",TNO4GttM6c,1,Terminal 1,On the inside corridor away from the gates in the Departure Hall.,Ethiopian Airlines ShebaMiles Lounge,,,,,,,,0,1.3,6,,,,,,,,,,
https://www.loungebuddy.co.uk/ADD?source=homepage/airports,regularLounges,1,ADD,(Outside Security),"Premium Food, Snacks, Spirits & Liquor, Beer & Wine, Wi-Fi, Flight Monitors, Newspapers & Magazines, TVs, Internet Terminals, Non-Smoking, 18+ Cardholder",,,Relax and unwind at the Star Alliance Gold Lounge prior to your departure from Addis Ababa.,aC9LLCU1g8,0,Terminal 2,The lounge is located opposite the Star Alliance Fast Track security checkpoint. The lounge is after passport control but before the security check.,Ethiopian Airlines Star Alliance Gold Lounge,,,,,,,,0,2,3,,,,,,,,,,
https://www.loungebuddy.co.uk/ADD?source=homepage/airports,regularLounges,2,ADD,(Inside Security),"Premium Food, Snacks, Spirits & Liquor, Beer & Wine, Wi-Fi, Newspapers & Magazines, TVs, Non-Smoking",,,The Cloud Nine Lounge at Addis Ababa Bole International Airport will make you like you are on cloud nine as you wait for your flight in a relaxing and quiet atmosphere.,UTqr8hYRBx,1,Terminal 2,"Departure Area, 2nd Floor.",Ethiopian Airlines Cloud Nine Lounge II,,,,,,,,0,2.3,4,,,,,,,,,,
https://www.loungebuddy.co.uk/ADD?source=homepage/airports,regularLounges,3,ADD,(Inside Security),"Premium Food, Snacks, Spirits & Liquor, Beer & Wine, Wi-Fi, Flight Monitors, Newspapers & Magazines, TVs, Internet Terminals, Printers & Copiers, Smoking Area, 18+ Cardholder",,,The Cloud Nine Lounge at Addis Ababa Bole International Airport will make you like you are on cloud nine as you wait for your flight in a relaxing and quiet atmosphere.,egxUGlfGlv,1,Terminal 2,"2nd Floor, near Gate 3.",Ethiopian Airlines Cloud Nine Lounge I,,,,,,,,0,1.4,8,,,,,,,,,,
https://www.loungebuddy.co.uk/ADL?source=homepage/airports,regularLounges,0,ADL,(Inside Security),"Premium Food, Snacks, Spirits & Liquor, Beer & Wine, Wi-Fi, Flight Monitors, Newspapers & Magazines, TVs, Conference Rooms, Internet Terminals, Printers & Copiers, Telephones, 18+ Cardholder",Upscale lounges with deluxe amenities,LUXE,,pERyfiiEVD,1,Terminal 1,On the left facing Qantas Club admission desk,Qantas Airways Chairman's Lounge (Temporarily Closed),,,,,,,,0,,0,,,,,,,,,,
https://www.loungebuddy.co.uk/ADL?source=homepage/airports,regularLounges,1,ADL,(Inside Security),"Snacks, Beer & Wine, Wi-Fi, Flight Monitors, Newspapers & Magazines, TVs, Internet Terminals, Non-Smoking, 18+ Cardholder",,,Hook up to your office in the Wireless Hotspot or surf the net at our Business Centre. Kick back to state-of-the-art entertainment on our plasma TVs. Alcohol is available starting at 3pm and Sydney travellers will get a taste of NSW premium wine from De Bortoli while South Australian members can relax with a glass of Boston Bay wine from Port Lincoln and Melbourne Lounge members will enjoy the taste of Wingara wines.,POirjfGbU1,1,Terminal 1,Near Gate 10.,The Rex Lounge (Temporarily Closed),,,,,,,,0,1,2,,,,,,,,,,
https://www.loungebuddy.co.uk/ADL?source=homepage/airports,regularLounges,2,ADL,(Inside Security),"Premium Food, Snacks, Spirits & Liquor, Beer & Wine, Wi-Fi, Showers, Flight Monitors, Newspapers & Magazines, TVs, Internet Terminals, Printers & Copiers, Telephones, Non-Smoking, 18+ Cardholder",,,"Work, socialise or unwind in comfort at the Virgin Australia lounge. Removed from the hustle and bustle of Australian airports, the Virgin Australia lounge is a secluded pre-flight haven. A great selection of complimentary benefits – such as a Luke Mangan designed buffet menu, premium wines, business services, news and entertainment – make their lounges stylish and practical spaces, designed to cater to guests’ moods and purposes.",VBrKEuho0S,1,Terminal 1,Across from Gate 18,Virgin Australia Lounge (Temporarily Closed),,,,,,,,0,2.8,4,,,,,,,,,,
https://www.loungebuddy.co.uk/ADL?source=homepage/airports,regularLounges,3,ADL,(Inside Security),"Premium Food, Snacks, Spirits & Liquor, Beer & Wine, Wi-Fi, Showers, Flight Monitors, Newspapers & Magazines, TVs, Children's Area, Internet Terminals, Printers & Copiers, Telephones, Non-Smoking, 18+ Cardholder",,,"Relax and unwind in the Qantas Club before your next flight. You and a guest will enjoy dedicated check-in, priority baggage handling, complimentary food and beverage, wireless internet and the latest newspapers and magazines.",eW8bzcGs6K,1,Terminal 1,Across from Gate 21.,Qantas Club (International Business Lounge),,,,,,,,0,3.4,14,,,,,,,,,,
https://www.loungebuddy.co.uk/AEP?source=homepage/airports,regularLounges,0,AEP,(Outside Security),"Snacks, Wi-Fi, Newspapers & Magazines, TVs, Non-Smoking",,,,IsIf7zyOeo,0,Main Terminal,Located next to the check-in area.,Aeropuertos VIP Club Lounge,Pay for entry at the front desk,USD,50,YBH3NNKSZ5,0,1,Walk Up Entry,0,2.7,11,,,,,,3,,,,
https://www.loungebuddy.co.uk/AER?source=homepage/airports,regularLounges,0,AER,(Inside Security),"Premium Food, Snacks, Beer & Wine, Wi-Fi, Showers, Flight Monitors, Newspapers & Magazines, TVs, Children's Area, Internet Terminals, Non-Smoking",,,,oOujAiERPv,1,Domestic Terminal,"2nd Floor, Sector B, near Gates 16 and 17",Domestic Business Lounge,Pay for entry at the front desk,RUB,3200,ZNpBUSQbpW,0,1,Walk Up Entry,0,1,2,,,,,,,,,,
https://www.loungebuddy.co.uk/AER?source=homepage/airports,regularLounges,1,AER,(Inside Security),"Snacks, Beer & Wine, Wi-Fi, Showers, Flight Monitors, Newspapers & Magazines, TVs, Internet Terminals, Non-Smoking",,,,yfyX36UrWI,1,International Terminal,"After Security and Passport Control, International Departures Area, 2nd Floor, Sector C.",International Business Lounge (Temporarily Closed),Pay for entry at the front desk,RUB,3200,ZNpBUSQbpW,0,1,Walk Up Entry,0,,0,,,,,,,,,,
https://www.loungebuddy.co.uk/AER?source=homepage/airports,regularLounges,2,AER,(Outside Security),"Premium Food, Snacks, Spirits & Liquor, Wi-Fi, Flight Monitors, Newspapers & Magazines, TVs, Non-Smoking",,,,eNz7h9YMN4,0,VIP Building,Separate VIP building,Sochi Airport VIP Lounge,Pay for entry at the front desk,RUB,12500,vR2BrLxXLA,0,1,Walk Up Entry,0,,0,,,,,,,,,,
https://www.loungebuddy.co.uk/AER?source=homepage/airports,regularLounges,3,AER,(Outside Security),"Premium Food, Snacks, Spirits & Liquor, Newspapers & Magazines, TVs, Private Rooms, Conference Rooms, Internet Terminals, Printers & Copiers, Non-Smoking",,,,OFANzWyhae,0,VIP Terminal,Separate VIP terminal left of main airport building,Sochi Airport VIP Terminal,Pay for entry at the front desk,RUB,10000,6z0avhrDkz,0,1,Walk Up Entry,0,,0,,,,,,,,,,
https://www.loungebuddy.co.uk/AGA?source=homepage/airports,regularLounges,0,AGA,(Inside Security),"Snacks, Wi-Fi, Flight Monitors, Newspapers & Magazines, TVs, Children's Area, Internet Terminals, Smoking Area, 18+ Cardholder",,,,62oEEfxpNb,1,Terminal 1,"Departure Level, After Security Checks/Duty Free Shops, go straight ahead. Lounge is located on the right.",Pearl Lounge (Temporarily Closed),,,,,,,,0,1,2,,,,,,,,,,
https://www.loungebuddy.co.uk/AGP?source=homepage/airports,regularLounges,0,AGP,(Inside Security),"Snacks, Spirits & Liquor, Beer & Wine, Wi-Fi, Flight Monitors, TVs, Conference Rooms, Internet Terminals, Printers & Copiers, Non-Smoking, 18+ Cardholder",Reliable lounges with expected amenities,SOLID,"Enjoy a relaxing and tranquil respite from the crowded terminal. Whether you need to catch up on some work, or simply want to kick back and relax with a snack and refreshing drink, Sala VIP offers a wide range of amenities designed to ease your travel pain.",PoZ2gSvcd3,1,Terminal 3,"After passing through the Security Checkpoint and Duty Free area, turn right. Past the Discover Andalucia store, take the stairs or elevator up one floor to the entrance.",Sala VIP,Pay for entry at the front desk,EUR,27,ztcHUls6Pg,0,1,Walk Up Entry,0,2.5,30,,,,,,,,,,
https://www.loungebuddy.co.uk/AGU?source=homepage/airports,regularLounges,0,AGU,(Outside Security),"Snacks, Spirits & Liquor, Beer & Wine, Flight Monitors, Newspapers & Magazines, TVs, Telephones, Non-Smoking",,,,ih3mgbc32I,0,Terminal 1,Take the escalators on the left hand side and proceed up the ramp to the lounge.,VIP Lounge Aguascalientes (Temporarily Closed),,,,,,,,0,3.5,2,,,,,,,,,,
https://www.loungebuddy.co.uk/AHB?source=homepage/airports,regularLounges,0,AHB,(Inside Security),"Snacks, Wi-Fi, Flight Monitors, Newspapers & Magazines, TVs, Internet Terminals, Telephones, Non-Smoking",,,,MFuwHQKHWU,1,Main Terminal,Immediately after security check,Tasheel First Class Lounge (Temporarily Closed),,,,,,,,0,,0,,,,,,,,,,
https://www.loungebuddy.co.uk/AKJ?source=homepage/airports,regularLounges,0,AKJ,(Inside Security),"Spirits & Liquor, Wi-Fi, Flight Monitors, Non-Smoking, Beer & Wine",,,,DCo5TQAZsb,1,Domestic Terminal,Located on the 2nd floor at the right end of the departure area.,Lounge Taisetsu,,,,,,,,0,,0,,,,,,,,,,
https://www.loungebuddy.co.uk/AKJ?source=homepage/airports,regularLounges,1,AKJ,(Inside Security),"Snacks, Newspapers & Magazines, Non-Smoking",,,,j8SEIaFyS7,1,International Terminal,"2nd Floor, next to meeting room",Lounge SORA,Pay for entry at the front desk,JPY,1500,3tfoJSZ6pC,0,1,Walk Up Entry,0,,0,,,,,,2,,,,
https://www.loungebuddy.co.uk/AKL?source=homepage/airports,regularLounges,0,AKL,(Inside Security),"Premium Food, Snacks, Spirits & Liquor, Beer & Wine, Wi-Fi, TVs, Non-Smoking",,,,DQqt3HPR4I,1,Domestic Terminal,Inside Koru Club Lounge,Air New Zealand Elite Priority One Lounge (Temporarily Closed),,,,,,,,0,,0,,,,,,,,,,
https://www.loungebuddy.co.uk/AKL?source=homepage/airports,regularLounges,1,AKL,(Outside Security),"Snacks, Spirits & Liquor, Beer & Wine, Wi-Fi, Flight Monitors, Newspapers & Magazines, TVs, Internet Terminals, Printers & Copiers, Telephones, Non-Smoking, 18+ Cardholder",,,"Find a quiet place to relax at the Air New Zealand Regional Lounge. Refuel with something to eat and drink, catch up on the latest news, or get some work done before your departure from Auckland.",4zcVrhJNgD,0,Domestic Terminal,Located on Level 1 at the regional end of the terminal near the Air New Zealand valet drop-off point.,Air New Zealand Regional Lounge,,,,,,,,0,,0,,,,,,,,,,
